"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Localização (Latitude)";"Localização (Longitude)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5111";"Casa do Carvalhal do Pombo";;;"Classificado em auditoria";"8";"4";"1";"Rua Principal, nº63A";"2350-016";"Assentiz Tnv";"Torres Novas";"Santarém";;;"914865890";;"matilde.ana@gmail.com";;"TURISMO DE LISBOA E VALE DO TEJO";"Centro (P)";"Médio Tejo";"2015-01-17-&gt;2015-03-31 Ano em causa:2015, 2015-12-01-&gt;2016-02-29 Ano em causa:2015, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ANA MATILDE FRADE DE SOUSA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5178";"Casa do Carvalho";"Casa do Carvalho";;"Classificado em auditoria";"2";"1";"1";"Branda da Aveleria";"4960-160";"Gave";"Melgaço";"Viana do Castelo";;;"965743244";;"nunoalves78@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"RITMO OUTONAL - UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5078";"CASA DO CARVALHO";"CASA DO CARVALHO";;"Classificado em auditoria";"10";"6";"1";"Rua do Outeiro n.º 96-104";"4990-770";"Souto Rebordões";"Ponte de Lima";"Viana do Castelo";;;"919735886";"258828203";"ajm@ajmalheiro.com";"casadocarvalho.wix.com/casa-do-carvalho";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ANA MARIA DE OLIVEIRA CARVALHO MALHEIRO";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"2955";"CASA DO CARVALHO";"CASA DO CARVALHO";;"Classificado em auditoria";"15";"7";"0";"Rua Padre José Joaquim Garcia de Oliveira, nº 103";"4775-257";"Viatodos";"Barcelos";"Braga";"41.452460";"-8.559634";"252967099";"252967099";"geral@casadocarvalho.com";"www.casadocarvalho.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"MARIA DA CONCEIÇÃO MENDES TEIXEIRA DE CARVALHO";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"778";"Casa do Casal do Carvalhal";"Casa do Casal do Carvalhal";;"Classificado em auditoria";"14";"7";"1";"Rua do Carvalhal 76";"4720-103";"Barreiros Amr";"Amares";"Braga";"41.616767";"-8.395565";"911891920";;"geral@casaldocarvalhal.net";"www.casaldocarvalhal.net";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"Rosa Araújo de Barros";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4676";"Casa do Caseiro do Toural";;;"Classificado em auditoria";"8";"4";"0";"Rua Direita nº 80";"6290-526";"Gouveia";"Gouveia";"Guarda";;;"926603157";;"casasdotoural1@gmail.com";;"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Sim";"20";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Casas do Toural, Sociedade de Desenvolvimento Agro-Turístico, Lda";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3319";"Casa do Castanheiro";;;"Classificado em auditoria";"4";"2";"0";"Branda da Aveleira";"4960-160";"Gave";"Melgaço";"Viana do Castelo";"41.993635";"-8.281138";"936837923";;"patriciasolha@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ANTONIO SOLHA";"Outra, "
"Empreendimento de Turismo de Habitação";"291";"casa do castelo";"Solares de Portugal";;"Por reconverter";"16";"8";"0";"Estrada Nacional 114, N.º 16";"2525-025";"Atouguia da Baleia";"Peniche";"Leiria";"39.339811";"-9.325472";"262750647";"262750937";"casadocastelo@hotmail.com";"www.casacastelo.com";"TURISMO DO OESTE";"Centro (P)";"Oeste";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";"APCER ERS3001 TH/TER";;"MARIA HELENA HORTA GAMA DE ALMEIDA BALTAZAR";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"615";"CASA DO CASTELO DE CELORICO DA BEIRA";"CASAS DO CASTELO";;"Classificado em projeto";"14";"6";"0";"RUA DO CASTELO 3";"6360-339";"Celorico da Beira";"Celorico da Beira";"Guarda";"40.637575";"-7.391578";"919439663";"254588127";"cronicasdaterra@sapo.pt";"www.cronicasdaterra.pt";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Beira Interior Norte";;"Não";"Local";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Roseta Maria de Albuquerque Furtado Correia Alves";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3777";"CASA DO CAVACADOURO";;;"Classificado em auditoria";"16";"8";"0";"RUA DE CAVACADOURO, N.º 189";"4840-999";"Terras de Bouro";"Terras de Bouro";"Braga";"41.722435";"-8.292596";"938 499 252";;"casadocavacadouro@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CASA DO CAVACADOURO TURISMO RURAL UNIPESSOAL LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"737";"Casa do Cavaleiro e Eira da Lage";;;"Classificado em auditoria";"8";"4";"0";"Estrada dos Espigueiros - Carreiras";"4970-655";"Soajo";"Arcos de Valdevez";"Viana do Castelo";"41.875405";"-8.264369";"258579165";"258577670";"cavaleiro-eiralage@hotmail.com";"www.casasdesoajo.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"TURISMO DE ALDEIA DAS CASAS DO CAVALEIRO E EIRA D";"Outra, "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5827(Em análise pelo Turismo de Portugal, I.P.)";"Casa do Centeio - Moinho da Bouçã";"Rustiventur";;"Classificado em auditoria";"4";"2";"0";"Ribeira da Torre, Bouçã, Graça, Pedrógão Grande";"3270-022";"Graça";"Pedrógão Grande";"Leiria";;;"968632236";;"eventur@grupocasacosta.com";"www.eventur.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Rustiventur - Organização de Eventos e Turismo, L";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4394";"Casa do Cerquido";;;"Classificado em auditoria";"5";"3";"0";"Cerquido";"4990-590";"Estorãos Ptl";"Ponte de Lima";"Viana do Castelo";"41.805883";"-8.676151";"258240201";"258240238";"lagoas@cm-pontedelima.pt";"www.lagoas.cm-pontedelima.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"NPimenta Sociedade Unipessoal Lda";
"Empreendimento de Turismo de Habitação";"1260";"Casa do Cimo";;;"Classificado em auditoria";"18";"9";"0";"Rua do Cimo Nº12";"6230-050";"Aldeia Nova do Cabo";"Fundão";"Castelo Branco";"40.113726";"-7.394882";"275771431";"243324991";"geral@casadocimo.com";"www.casadocimo.com";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Cova da Beira";;"Não";"de época";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"CASA CIMO SOC TURISTICA LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5038";"Casa do Coberto de Caldezes";"Casa do Coberto de Caldezes";;"Classificado em auditoria";"4";"2";"0";"Lugar de Caldezes";"4830-543";"Póvoa de Lanhoso";"Póvoa de Lanhoso";"Braga";;;"917323262";"253321312";"auroraneto@netcabo.pt";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"AURORA DA CONCEIÇÃO DE SOUSA ALMEIDA E SILVA NETO";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3249";"Casa do Codorneiro";;;"Classificado em auditoria";"11";"6";"0";"Lugar do codorneiro";"5100-661";"Penajóia";"Lamego";"Viseu";"41.098727";"-7.810938";"254969078";;"casadocodorneiro@casadocodorneiro.com";"www.casadocodorneiro.com";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"AMELIA TAVEIRA &amp; FILHOS LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3794";"Casa do Comendador";"Casa do Comendador";;"Classificado em auditoria";"18";"8";"0";"Rua de Baixo nº17 S.Miguel Arcanjo";"9940-312";"São Roque do Pico";"São Roque do Pico";"Ilha do Pico";"38.504022";"-28.291857";"292642950";"282642950";"info@casadocomendador.com";"www.casadocomendador.com";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"JOSE MANUEL LEAL CALDEIRA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"6457";"Casa do Conselheiro";;;"Classificado em auditoria";"8";"4";"0";"Rua das Moreirinhas";"5180-142";"Freixo de Espada à Cinta";"Freixo de Espada à Cinta";"Bragança";;;"915550362";;"geral@casadoconselheiro.pt";"Www.casadoconselheiro.pt";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Casa do Conselheiro";
"Empreendimento de Turismo de Habitação";"6172";"Casa do Conto arts&amp;residence";"Casa do Conto arts&amp;residence";;"Classificado em auditoria";"12";"6";"0";"Rua da Boavista 703";"4050-110";"Porto";"Porto";"Porto";;;"222060340";;"info@casadoconto.com";"www.casadoconto.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Grande Porto";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CASA DO CONTO LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5738";"Casa do Correio";"Casa do Correio";;"Classificado em auditoria";"6";"3";"0";"Bairro da Igreja - Freixiosa";"5210-333";"Vila Chã de Braciosa";"Miranda do Douro";"Bragança";;;"919858194";;"gera@casadocorreio.com";"www.casadocorreio.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"RICARDO JOSE GON?ALVES REIS UNIPESSOAL LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3379";"Casa do Côto";;;"Classificado em auditoria";"4";"2";"0";"Lugar do Côto - Bravães";"4980-113";"Bravães";"Ponte da Barca";"Viana do Castelo";"41.793584";"-8.450066";"258453558";;"casadocoto@sapo.pt";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"José António Mendes da Silva";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5907";"Casa do Côto/Magalhães";;;"Classificado em auditoria";"6";"3";"0";"Lugar do Côto - Paço Vedro Magalhães";"4980-546";"Paço Vedro de Magalhães";"Ponte da Barca";"Viana do Castelo";;;"966319263";;"jdavide.barca@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Sim";"12";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"JOÃO RICARDO RODRIGUES GOMES";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"6027";"Casa do Covão Grande";"casa do Covão Grande";;"Classificado em auditoria";"8";"4";"0";"Rua Principal, 70   Fonte Longa";"2040-019";"Alcobertas";"Rio Maior";"Santarém";;;"962920595";;"vfmartins1945@gmail.com";;"TURISMO DE LISBOA E VALE DO TEJO";"Alentejo";"Lezíria do Tejo";;"Não";"---";"0";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Virgínio Ferreira Martins";
"Empreendimento de Turismo de Habitação";"5110";"Casa do Crato";"Casa do Crato";;"Classificado em auditoria";"16";"8";"0";"Rua D. Efigénia de Sá Nogueira, nº 21";"7430-156";"Crato";"Crato";"Portalegre";;;"964809819";;"Casa.do.crato.th@gmail.com";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"0";"Sim";"10";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Amarelo Palha - Turismo de Habitação Unipessoal, Lda.";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4299";"Casa do Cuco";;;"Classificado em auditoria";"4";"2";"0";"Lugar de Carvalhas - Fontão";"4990-610";"Fontão";"Ponte de Lima";"Viana do Castelo";"41.752687";"-8.644637";"258240201";"258240238";"lagoas@cm-pontedelima.pt";"www.lagoas.cm-pontedelima.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Municipio de Ponte de Lima/Lagoas ( MUNICIPIO DE";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5665";"Casa do Curral do Mosteiro de Moreruela";"Casa do Curral do Mosteiro de Moreruela";;"Classificado em projeto";"19";"9";"1";"Rua do Ramalhal";"5210-090";"Genísio";"Miranda do Douro";"Bragança";;;"934599377";;"fmarcos2008@hotmail.com";"www.mirandesrural.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Sim";"25";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Francisco Manuel Esteves Marcos";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3065";"Casa do Dão - Turismo";;;"Classificado em auditoria";"4";"2";"0";"Dão Oleiros";"6160-336";"Oleiros";"Oleiros";"Castelo Branco";"39.950000";"-7.850000";"932952972";;"casa.dao.turismo@gmail.com";"www.casadodao-turismo.com";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Sul";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Marina Mendes Alves";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"608";"Casa do Desporto";;;"Classificado em auditoria";"22";"11";"0";"Rua Dr. Francisco Luís Coutinho,nº8";"3140-264";"Montemor-o-Velho";"Montemor-o-Velho";"Coimbra";"40.172741";"-8.684368";"226056710";;"quarteiraodasartes@itcomercio.com";;"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Baixo Mondego";;"Não";"---";"0";"Sim";"0";"Sim";"Não";"Não";"Não";"Não";"Não";"Sim";;;"QUARTEIRÃO DAS ARTES E DESPORTOS LDA";
"Empreendimento de Turismo de Habitação";"4992";"CASA DO DIOGO";"CASA DO DIOGO";;"Classificado em auditoria";"9";"6";"0";"RUA EIDO DE CIMA, 2";"4930-011";"Arão";"Valença";"Viana do Castelo";;;"251823926";;"didi_75@live.com.pt";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"ADRIANA BARREIROS MARTINS DE MELO BARBOSA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4736";"Casa do Eido";;;"Classificado em auditoria";"10";"5";"1";"Rua 2 n.º 6";"4845-044";"Valdosende";"Terras de Bouro";"Braga";;;"967750506";;"sousa.aca@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Casa do Eido";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4987";"Casa do Eido da Devesa";"Casa do Eido da Devesa";;"Classificado em auditoria";"12";"8";"0";"Devesa - Bárrio";"4990-540";"Bárrio Ptl";"Ponte de Lima";"Viana do Castelo";;;"258757467";;"info@casodoeidodadevesa.com";"www.casadoeidodadevesa.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"JOSE CARLOS ESTEVES PEREIRA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3235";"Casa do Eiró";;;"Classificado em auditoria";"6";"3";"0";"Largo do Eiró, N.º 1";"4970-660";"Soajo";"Arcos de Valdevez";"Viana do Castelo";"41.873905";"-8.264519";"258577296";"258741444";"saberaoborralho@gmail.com";"www.aldeiasdeportugal.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"FLORINDA PEREIRA GON?ALO DA ROCHA";"Outra, "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4782";"casa do engenho";"Casa do Engenho";;"Classificado em auditoria";"12";"6";"1";"rua do engenho 140";"4505-690";"Caldas de São Jorge";"Santa Maria da Feira";"Aveiro";;;"937058023";;"casadoengenho120@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Entre Douro e Vouga";;"Não";"---";"0";"Sim";"100";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ceu alves silva unipessoal limitada";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5100";"Casa do Espigueiro";;;"Classificado em auditoria";"6";"3";"0";"Quinta de Pomarchão";"4990-068";"Ponte de Lima";"Ponte de Lima";"Viana do Castelo";;;"259741742";;"flavv@sapo.pt";"www.casadepomarchao.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Frederico Luis de Albuquerque Vilhena Vilar";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"1296";"Casa do Faial";"Casa do faial";;"Por reconverter";"8";"4";"0";"Lugar do Faial, Rua 2 nº 6";"4730-460";"Vila de Prado";"Vila Verde";"Braga";"41.600406";"-8.461971";"919588778";;"migueljcerqueira@gmail.com";"www.visitminho.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Miguel Cerqueira";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5361";"Casa do Faval";"Casa do Faval";;"Classificado em auditoria";"6";"3";"0";"Lugar do Faval";"4960-150";"Fiães Mlg";"Melgaço";"Viana do Castelo";;;"919965477";;"petraoliveira@hotmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MARIA DO CEU PEREIRA LOPES DE OLIVEIRA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4675";"Casa do Feitor do Toural";;;"Classificado em auditoria";"6";"3";"0";"Rua Direita nº 80";"6290-526";"Gouveia";"Gouveia";"Guarda";;;"926603157";;"casasdotoural1@gmail.com";;"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Sim";"20";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Casas do Toural, Sociedade de Desenvolvimento Agro-Turístico, Lda";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5301";"Casa do Ferrador";;;"Classificado em auditoria";"5";"3";"0";"Casa do Ferrador - Rua da Casa do Povo";"5370-160";"Marmelos";"Mirandela";"Bragança";;;"917137486";;"teixeiraneves@hotmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"António Alfredo Teixeira Neves";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo de Habitação";"548";"Casa do Foral";"Solares de Portugal";;"Por reconverter";"16";"8";"0";"Rua da Boavista, 10";"2040-302";"Rio Maior";"Rio Maior";"Santarém";"39.337803";"-8.938864";"243992610";;"info@casadoforal.com";"www.casadoforal.com";"TURISMO DE LISBOA E VALE DO TEJO";"Alentejo";"Lezíria do Tejo";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";"APCER ERS 3001 TH/TER";;"URBILAZER EXPLORA??ES TURISTICAS LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3480";"Casa do Forno";;;"Classificado em auditoria";"8";"4";"2";"Casal Novo";"3300-221";"Cepos";"Arganil";"Coimbra";"40.161604";"-7.943977";"235751036";"235751036";"info@casas-da-serradoacor.pt";"www.casas-da-serradoacor.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Casas da Serra do Açor Lda.";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3737";"Casa do Forno";"Casa do Forno";;"Classificado em auditoria";"11";"6";"0";"Rua de S. João, nºs 1 e 3";"6060-501";"Salvaterra do Extremo";"Idanha-a-Nova";"Castelo Branco";;;"277455021";"277455166";"casadoforno@gmail.com";"www.casadoforno.com.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Beira Interior Sul";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"JOÃO CARLOS DIAS GERALDES";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"518";"Casa do Forno";"Casa do Forno";;"Classificado em auditoria";"6";"3";"0";"Quinta das Covas";"5300-553";"Gimonde";"Bragança";"Bragança";"41.797632";"-6.693292";"273381302";"273302511";"qcovas@amontesinho.pt";"www.amontesinho.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Sim";"500";"Sim";"Sim";"Não";"Não";"Não";"Não";"Sim";"NP EN ISO 9001:2008";;"QUINTA DAS COVAS SOCIEDADE AGRO - TURISTICA LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"1112";"CASA DO FORNO DO VILAR";"VILAR DOS CONDES";;"Classificado em auditoria";"1";"1";"0";"VILAR CIMEIRO";"6160-211";"Madeirã";"Oleiros";"Castelo Branco";"39.916023";"-7.915710";"968632907";"272664265";"vilardoscondes@gmail.com";"www.vilardoscondes.com";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Sul";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MARIA TERESA LUCAS DE ALMEIDA";
"Empreendimento de Turismo de Habitação";"1411";"Casa do Fundo do Pereiro";"Casa do Fundo";;"Classificado em auditoria";"10";"5";"0";"Rua Dona Augusta Borges Melo, S/N";"6270-584";"Tourais";"Seia";"Guarda";"40.448286";"-7.770338";"238902118";"238901038";"geral@casadopfundo.com";"www.casadofundo.com";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Maria Silvia Almeida Abrantes Mamede";
